Wf-no,alg,comp,part-comp,imput-comp,scal-comp,acc,balanced-acc.,f1-score,selected
0,DT,,random-absolute,,,78.26,72.4,valid,TRUE
1,DT,,random-relative,,,82.12,80.2,valid,TRUE
2,DT,,first-absolute,,,77.2,73.9,valid,TRUE
3,DT,,first-relative,,,82.68,82.68,valid,TRUE
4,SVM,hypertangent,random-absolute,drop,decimal,66.86,50,invalid,FALSE
5,SVM,hypertangent,random-absolute,drop,min-max,67.7,50,invalid,FALSE
6,SVM,hypertangent,random-absolute,drop,z-score,66.67,50,invalid,FALSE
7,SVM,hypertangent,random-absolute,mean,decimal,61.82,50,invalid,FALSE
8,SVM,hypertangent,random-absolute,mean,min-max,61.82,50,invalid,FALSE
9,SVM,hypertangent,random-absolute,mean,z-score,63.84,57.6,valid,TRUE
10,SVM,hypertangent,random-relative,drop,decimal,60.53,50,invalid,FALSE
11,SVM,hypertangent,random-relative,drop,min-max,70.59,50,invalid,FALSE
12,SVM,hypertangent,random-relative,drop,z-score,65.67,50,invalid,FALSE
13,SVM,hypertangent,random-relative,mean,decimal,59.78,50,invalid,FALSE
14,SVM,hypertangent,random-relative,mean,min-max,67.04,61,valid,FALSE
15,SVM,hypertangent,random-relative,mean,z-score,54.19,49.4,valid,TRUE
16,SVM,hypertangent,first-absolute,drop,decimal,68.07,50,invalid,FALSE
17,SVM,hypertangent,first-absolute,drop,min-max,68.07,50,invalid,FALSE
18,SVM,hypertangent,first-absolute,drop,z-score,28.92,40.3,valid,FALSE
19,SVM,hypertangent,first-absolute,mean,decimal,61.95,50,invalid,FALSE
20,SVM,hypertangent,first-absolute,mean,min-max,61.95,50,invalid,FALSE
21,SVM,hypertangent,first-absolute,mean,z-score,60.94,49.2,valid,TRUE
22,SVM,hypertangent,first-relative,drop,decimal,72.22,50,invalid,FALSE
23,SVM,hypertangent,first-relative,drop,min-max,72.22,50,invalid,FALSE
24,SVM,hypertangent,first-relative,drop,z-score,75,55,valid,FALSE
25,SVM,hypertangent,first-relative,mean,decimal,64.25,50,invalid,FALSE
26,SVM,hypertangent,first-relative,mean,min-max,73.74,67.4,valid,FALSE
27,SVM,hypertangent,first-relative,mean,z-score,32.96,32.6,valid,TRUE
28,SVM,polynomial,random-absolute,drop,decimal,66.04,50,invalid,FALSE
29,SVM,polynomial,random-absolute,drop,min-max,66.25,58,valid,FALSE
30,SVM,polynomial,random-absolute,drop,z-score,49.4,51.3,valid,FALSE
31,SVM,polynomial,random-absolute,mean,decimal,61.69,50,invalid,FALSE
32,SVM,polynomial,random-absolute,mean,min-max,71.05,66.7,invalid,FALSE
33,SVM,polynomial,random-absolute,mean,z-score,67.64,64.2,valid,TRUE
34,SVM,polynomial,random-relative,drop,decimal,70.45,50,invalid,FALSE
35,SVM,polynomial,random-relative,drop,min-max,61.29,50,invalid,FALSE
36,SVM,polynomial,random-relative,drop,z-score,71.79,63.4,valid,FALSE
37,SVM,polynomial,random-relative,mean,decimal,67.04,59.6,valid,FALSE
38,SVM,polynomial,random-relative,mean,min-max,69.83,66,valid,FALSE
39,SVM,polynomial,random-relative,mean,z-score,71.51,68,valid,TRUE
40,SVM,polynomial,first-absolute,drop,decimal,30.12,44.7,valid,FALSE
41,SVM,polynomial,first-absolute,drop,min-max,32.53,48.9,valid,FALSE
42,SVM,polynomial,first-absolute,drop,z-score,31.93,49,valid,FALSE
43,SVM,polynomial,first-absolute,mean,decimal,61.95,50,invalid,FALSE
44,SVM,polynomial,first-absolute,mean,min-max,63.5,53.1,valid,FALSE
45,SVM,polynomial,first-absolute,mean,z-score,61.82,50,valid,TRUE
46,SVM,polynomial,first-relative,drop,decimal,72.2,50,invalid,FALSE
47,SVM,polynomial,first-relative,drop,min-max,72.2,50,invalid,FALSE
48,SVM,polynomial,first-relative,drop,z-score,72.2,50,invalid,FALSE
49,SVM,polynomial,first-relative,mean,decimal,75.42,69.4,valid,FALSE
50,SVM,polynomial,first-relative,mean,min-max,74.86,70.4,valid,FALSE
51,SVM,polynomial,first-relative,mean,z-score,72.63,68.6,valid,TRUE
52,SVM,rbf,random-absolute,drop,decimal,65.84,49.5,invalid,FALSE
53,SVM,rbf,random-absolute,drop,min-max,67.07,52.2,valid,FALSE
54,SVM,rbf,random-absolute,drop,z-score,66.67,50,invalid,FALSE
55,SVM,rbf,random-absolute,mean,decimal,67,62.2,valid,FALSE
56,SVM,rbf,random-absolute,mean,min-max,58.91,51.9,valid,FALSE
57,SVM,rbf,random-absolute,mean,z-score,60.94,49.7,valid,TRUE
58,SVM,rbf,random-relative,drop,decimal,72.73,56.6,valid,FALSE
59,SVM,rbf,random-relative,drop,min-max,65.96,53.7,valid,FALSE
60,SVM,rbf,random-relative,drop,z-score,60,47.7,invalid,FALSE
61,SVM,rbf,random-relative,mean,decimal,75.4,70.4,valid,FALSE
62,SVM,rbf,random-relative,mean,min-max,70.95,67.1,valid,FALSE
63,SVM,rbf,random-relative,mean,z-score,56.42,48.5,valid,TRUE
64,SVM,rbf,first-absolute,drop,decimal,68.07,50,invalid,FALSE
65,SVM,rbf,first-absolute,drop,min-max,68.07,50,invalid,FALSE
66,SVM,rbf,first-absolute,drop,z-score,68.07,50,invalid,FALSE
67,SVM,rbf,first-absolute,mean,decimal,61.82,49.9,invalid,FALSE
68,SVM,rbf,first-absolute,mean,min-max,61.82,49.9,invalid,FALSE
69,SVM,rbf,first-absolute,mean,z-score,61.95,50,invalid,TRUE
70,SVM,rbf,first-relative,drop,decimal,72.22,50,invalid,FALSE
71,SVM,rbf,first-relative,drop,min-max,72.22,50,invalid,FALSE
72,SVM,rbf,first-relative,drop,z-score,72.22,50,invalid,FALSE
73,SVM,rbf,first-relative,mean,decimal,69.27,60.5,valid,FALSE
74,SVM,rbf,first-relative,mean,min-max,68.16,58.9,valid,FALSE
75,SVM,rbf,first-relative,mean,z-score,64.25,50.3,valid,TRUE
