workflow-number,classification-algorithm,algorithm-component,partition-component,Imputation-component,scaling-component,accuracy-score,balanced-accuracy-score,f1-score-survived,optimized
0,DT,,random-absolute,,,78.26,72.4,62.3,TRUE
1,DT,,random-relative,,,82.12,80.2,73.3,TRUE
2,DT,,first-absolute,,,77.2,73.9,66.7,TRUE
3,DT,,first-relative,,,82.68,82.68,77.4,TRUE
9,SVM,hypertangent,random-absolute,mean,z-score,63.84,57.6,39.1,TRUE
15,SVM,hypertangent,random-relative,mean,z-score,54.19,49.4,33.9,TRUE
21,SVM,hypertangent,first-absolute,mean,z-score,60.94,49.2,0.6,TRUE
27,SVM,hypertangent,first-relative,mean,z-score,32.96,32.6,0.25,TRUE
33,SVM,polynomial,random-absolute,mean,z-score,67.64,64.2,54,TRUE
39,SVM,polynomial,random-relative,mean,z-score,71.51,68,57.1,TRUE
45,SVM,polynomial,first-absolute,mean,z-score,61.82,50,1.3,TRUE
51,SVM,polynomial,first-relative,mean,z-score,72.63,68.6,58.8,TRUE
57,SVM,rbf,random-absolute,mean,z-score,60.94,49.7,3.1,TRUE
63,SVM,rbf,random-relative,mean,z-score,56.42,48.5,4.9,TRUE
69,SVM,rbf,first-absolute,mean,z-score,61.95,50,N/A,TRUE
75,SVM,rbf,first-relative,mean,z-score,64.25,50.3,3,TRUE
4,SVM,hypertangent,random-absolute,drop,decimal,66.86,50,N/A,FALSE
5,SVM,hypertangent,random-absolute,drop,min-max,67.7,50,N/A,FALSE
6,SVM,hypertangent,random-absolute,drop,z-score,66.67,50,N/A,FALSE
7,SVM,hypertangent,random-absolute,mean,decimal,61.82,50,N/A,FALSE
8,SVM,hypertangent,random-absolute,mean,min-max,61.82,50,N/A,FALSE
10,SVM,hypertangent,random-relative,drop,decimal,60.53,50,N/A,FALSE
11,SVM,hypertangent,random-relative,drop,min-max,70.59,50,N/A,FALSE
12,SVM,hypertangent,random-relative,drop,z-score,65.67,50,N/A,FALSE
13,SVM,hypertangent,random-relative,mean,decimal,59.78,50,N/A,FALSE
14,SVM,hypertangent,random-relative,mean,min-max,67.04,61,44.9,FALSE
16,SVM,hypertangent,first-absolute,drop,decimal,68.07,50,N/A,FALSE
17,SVM,hypertangent,first-absolute,drop,min-max,68.07,50,N/A,FALSE
18,SVM,hypertangent,first-absolute,drop,z-score,28.92,40.3,14.5,FALSE
19,SVM,hypertangent,first-absolute,mean,decimal,61.95,50,N/A,FALSE
20,SVM,hypertangent,first-absolute,mean,min-max,61.95,50,N/A,FALSE
22,SVM,hypertangent,first-relative,drop,decimal,72.22,50,83.9,FALSE
23,SVM,hypertangent,first-relative,drop,min-max,72.22,50,83.9,FALSE
24,SVM,hypertangent,first-relative,drop,z-score,75,55,85.2,FALSE
25,SVM,hypertangent,first-relative,mean,decimal,64.25,50,N/A,FALSE
26,SVM,hypertangent,first-relative,mean,min-max,73.74,67.4,55.2,FALSE
28,SVM,polynomial,random-absolute,drop,decimal,66.04,50,79.6,FALSE
29,SVM,polynomial,random-absolute,drop,min-max,66.25,58,76.5,FALSE
30,SVM,polynomial,random-absolute,drop,z-score,49.4,51.3,55.3,FALSE
31,SVM,polynomial,random-absolute,mean,decimal,61.69,50,N/A,FALSE
32,SVM,polynomial,random-absolute,mean,min-max,71.05,66.7,55.9,FALSE
34,SVM,polynomial,random-relative,drop,decimal,70.45,50,82.7,FALSE
35,SVM,polynomial,random-relative,drop,min-max,61.29,50,76,FALSE
36,SVM,polynomial,random-relative,drop,z-score,71.79,63.4,80.7,FALSE
37,SVM,polynomial,random-relative,mean,decimal,67.04,59.6,41.6,FALSE
